day,trial_type,M1,M2,M4,M5,M1,M2,M4,M5,M1,M2,M4,M5,M1,M2,M4,M5,mean,SD
1,SL,96.15,83.33,76,100,90.48,85.71,100,40.91,100,95.46,73.91,86.36,100,95.46,56.52,100,86.268125,4.299522766
1,LS,70,54.55,54.17,73.68,45,23.53,68.18,9.09,63.64,60.87,69.57,78.26,86.36,59.09,22.73,72.73,56.965625,5.440250758
1,SS,56.82,56,56.1,17.02,30.61,46.15,56.52,60.87,31.11,31.11,63.64,22.22,45.65,23.91,75.56,33.33,44.16375,4.337881095
2,SL,83.33,86.96,81.82,95.24,76.92,90.48,77.27,78.26,95.46,91.3,65.22,90.91,50,100,82.61,100,84.11125,3.269460949
2,LS,77.27,59.09,25,85,47.06,40.63,65.22,90.91,72.73,30.44,56.52,39.13,65.22,81.82,72.73,73.91,61.4175,4.993606204
2,SS,100,84.44,44.68,26.53,51.11,56.76,82.22,68.89,52.17,22.73,59.09,24.44,35.56,41.3,68.89,75.56,55.898125,5.747895935
3,SL,66.67,45.46,92,91.3,85,100,100,27.27,90.91,95.46,82.61,81.82,86.96,95.45,95.46,100,83.523125,5.14115938
3,LS,71.88,27.27,10.53,100,67.86,70,91.3,36.36,65.22,47.83,78.26,45.46,86.36,73.91,86.96,31.82,61.93875,6.464433326
3,SS,91.89,86.67,43.48,41.67,26.19,27.27,64.44,71.74,55.56,31.11,79.55,36.96,86.67,37.78,90.91,73.91,59.1125,6.061418735
4,SL,94.44,65.22,86.96,92,84,73.33,91.3,78.26,86.36,77.27,95.46,95.46,90.91,100,77.27,100,86.765,2.525514139
4,LS,81.82,25,44.44,47.37,44.44,85,72.73,82.61,52.17,86.96,56.52,39.13,78.26,77.27,69.57,30.44,60.858125,5.189820262
4,SS,92,89.36,57.14,47.83,28.89,67.27,68.18,56.82,44.44,37.78,64.44,46.67,64.44,64.44,86.67,84.09,62.52875,4.700169933
5,SL,71.43,80,82.61,56,90,100,100,60.87,100,86.96,91.3,86.96,90.91,95.46,68.18,100,85.0425,3.557685519
5,LS,81.25,80.95,38.89,36.84,71.43,83.33,54.55,50,36.36,81.82,54.55,80.95,59.09,52.17,86.96,65.22,63.3975,4.477827273
5,SS,88.89,71.43,59.18,76.09,40.82,53.49,55.56,73.33,39.13,51.11,75,82.22,63.04,77.78,88.89,68.89,66.553125,3.882519019
6,SL,52.17,80,83.33,73.68,92,86.96,63.64,65.22,86.96,95.46,82.61,95.46,95.45,95.65,72.73,95.46,82.29875,3.371632996
6,LS,81.82,66.67,23.81,63.64,34.15,63.64,56.52,43.48,27.27,63.64,69.57,81.82,82.61,54.55,90.91,81.82,61.62,5.161041723
6,SS,82.22,73.47,58.82,35.42,34.15,24.44,88.89,52.27,40,45.65,59.09,61.36,73.33,77.78,90.91,86.96,61.5475,5.344089531
7,SL,96.15,64,89.47,87.5,95.46,95.24,63.64,86.36,86.36,95.65,A9,90.91,100,95.46,52.17,95.65,86.268,3.726128873
7,LS,90,63.64,18.18,63.64,95.46,88.24,73.91,77.27,43.48,73.91,60.87,73.91,63.64,65.22,77.27,43.48,67.0075,4.877108817
7,SS,84.09,74.42,57.14,51.92,30.44,75,91.11,71.74,37.78,70.46,70.46,75.56,80,82.22,93.33,79.55,70.32625,4.426043086
8,SL,89.66,66.67,100,87.5,95.46,82.61,81.82,100,95.46,95.65,68.18,95.46,90.91,100,63.64,95.65,88.041875,3.052253842
8,LS,100,77.27,19.23,42.11,72.73,40.91,69.57,54.55,52.17,78.26,69.57,73.91,72.73,47.83,71.43,65.22,62.968125,4.802418941
8,SS,90.7,78,31.58,68.09,56.52,42.22,82.22,37.78,55.56,79.55,55.56,86.67,89.13,77.27,91.11,86.36,69.27,5.009496731
