day,trial_type,M1,M2,M4,M5,mean,SD
1,SL,100,92,100,92,96,1.788854382
1,LS,0,0,0,12,3,2.323790008
1,SS,60,70,84,52,66.5,5.343220003
2,SL,92,96,92,100,95,1.483239697
2,LS,0,0,0,0,0,0
2,SS,70,52,90,94,76.5,7.519973404
3,SL,100,96,96,64,89,6.496152708
3,LS,0,0,4,8,3,1.483239697
3,SS,76,64,84,24,62,10.31503757
4,SL,100,88,96,100,96,2.19089023
4,LS,16,0,0,4,5,2.93257566
4,SS,70,70,88,74,75.5,3.309078422
5,SL,88,100,96,96,95,1.949358869
5,LS,0,0,4,4,2,0.894427191
5,SS,58,90,90,60,74.5,6.939020104
6,SL,100,80,100,100,95,3.872983346
6,LS,4,0,0,12,4,2.19089023
6,SS,70,78,88,24,65,10.96357606
7,SL,84,84,72,96,84,3.794733192
7,LS,12,4,0,8,6,2
7,SS,38,92,70,50,62.5,9.173330911
8,SL,100,96,76,88,90,4.098780306
8,LS,8,0,8,12,7,1.949358869
8,SS,54,78,62,50,61,4.795831523
